transaction_id,amount_usd,merchant_category,card_type,auth_method,channel,device_type,is_foreign_transaction,hours_since_last_txn,txn_count_last_24h,distance_from_home_km,card_age_months,customer_age,account_balance_usd,is_new_merchant,used_vpn,ip_country_mismatch,billing_shipping_mismatch,cvv_retry_count,velocity_score,time_of_day_hour,day_of_week,is_ai_generated_scam_attempt,merchant_risk_score,prior_disputes,is_fraud
1,42.86,Restaurants,Visa,OTP,Online,Android Phone,False,13.54,2,22.35,39,25,1080.71,False,False,False,False,0,0.1,18,3,False,42.3,0,0
2,4.75,Online Retail,Mastercard,3D Secure,Online,Android Phone,False,0.71,2,35.28,47,33,4463.72,True,False,False,False,0,25.8,12,4,False,28.3,0,0
3,77.18,Groceries,Mastercard,3D Secure,Online,Mac,False,0.35,5,9.82,51,59,366.25,False,True,False,True,0,42.3,5,0,False,24.7,1,0
4,1.69,Streaming,Visa,No Authentication,POS,Android Phone,False,3.42,6,19.72,48,28,1345.29,True,False,False,False,0,28.9,22,6,False,56.2,1,0
5,261.68,Travel,Visa,3D Secure,In-App,iPhone,False,2.43,2,17.68,43,36,4192.59,False,False,False,False,0,3.9,2,4,False,32.7,0,0
6,119.72,Gift Cards,Amex,Biometric,Contactless,iPhone,False,5.94,4,60.78,61,18,844.16,True,False,False,False,0,15.2,5,1,False,81.2,0,0
7,139.71,Electronics,RuPay,3D Secure,In-App,POS Terminal,False,18.31,6,25.71,46,49,1235.77,False,False,False,False,1,24.5,1,3,False,63.0,0,0
8,340.68,Electronics,Visa,3D Secure,Online,ATM Machine,False,25.56,2,28.91,46,44,815.37,False,False,False,False,0,15.9,15,5,False,52.9,0,0
9,116.41,Groceries,Mastercard,Biometric,Online,iPhone,False,6.28,2,28.58,49,44,1165.12,False,False,False,False,0,25.5,7,4,False,39.8,1,0
10,154.65,Groceries,Visa,PIN,Online,Tablet,False,0.78,5,4.3,42,62,1938.48,False,False,False,False,0,30.7,11,5,False,38.3,0,0
11,64.78,Groceries,Discover,3D Secure,POS,POS Terminal,False,0.32,3,18.06,46,20,1962.45,False,False,False,False,0,26.8,13,5,False,36.8,0,0
12,166.57,Travel,RuPay,PIN,Online,iPhone,False,5.78,3,6.63,46,73,1623.67,False,False,False,False,0,36.0,14,4,False,27.1,0,0
13,37.45,Gift Cards,Mastercard,OTP,ATM,Android Phone,False,11.63,2,13.77,41,24,1200.48,True,False,False,False,0,11.1,6,6,False,64.4,0,0
14,6.08,Online Retail,Amex,3D Secure,Online,iPhone,False,5.98,6,6.8,56,80,9149.51,True,False,False,False,0,21.9,8,4,False,38.2,0,0
15,21.76,Fuel,Mastercard,Biometric,Online,Android Phone,False,5.94,4,8.18,50,67,1784.27,True,False,False,False,0,17.3,13,6,False,20.5,1,0
16,229.32,Electronics,Amex,PIN,POS,POS Terminal,False,3.39,5,40.71,35,22,7938.88,False,False,False,False,0,15.6,23,4,False,42.5,0,0
